id,t_deadline_us,t_pub_us,published
72,36856427344,36856430636,1
73,36856444010,36856445765,1
74,36856460677,36856462524,1
75,36856477344,36856478898,1
76,36856494010,36856495503,1
77,36856510677,36856512191,1
78,36856527344,36856528771,1
79,36856544010,36856545280,1
80,36856560677,36856561948,1
81,36856577344,36856578610,1
82,36856594010,36856595266,1
83,36856610677,36856612035,1
84,36856627344,36856628909,1
85,36856644010,36856645262,1
86,36856660677,36856661923,1
87,36856677344,36856678876,1
88,36856694010,36856695363,1
89,36856710677,36856712072,1
90,36856727344,36856728714,1
91,36856744010,36856745549,1
92,36856760677,36856761912,1
93,36856777344,36856778649,1
94,36856794010,36856795361,1
95,36856810677,36856812169,1
96,36856827344,36856828798,1
97,36856844010,36856845500,1
98,36856860677,36856862095,1
99,36856877344,36856878710,1
100,36856894010,36856895249,1
101,36856910677,36856911962,1
102,36856927344,36856928589,1
103,36856944010,36856945254,1
104,36856960677,36856961989,1
105,36856977344,36856978968,1
106,36856994010,36856995418,1
107,36857010677,36857011953,1
108,36857027344,36857028591,1
109,36857044010,36857045408,1
110,36857060677,36857062212,1
111,36857077344,36857078900,1
112,36857094010,36857095904,1
113,36857110677,36857112207,1
114,36857127344,36857128668,1
115,36857144010,36857145286,1
116,36857160677,36857161941,1
117,36857177344,36857178612,1
118,36857194010,36857195259,1
119,36857210677,36857211927,1
120,36857227344,36857228587,1
121,36857244010,36857245249,1
122,36857260677,36857261911,1
123,36857277344,36857278924,1
124,36857294010,36857295495,1
125,36857310677,36857312086,1
126,36857327344,36857328631,1
127,36857344010,36857345436,1
128,36857360677,36857361943,1
129,36857377344,36857378620,1
130,36857394010,36857395244,1
131,36857410677,36857411931,1
132,36857427344,36857428593,1
133,36857444010,36857445244,1
134,36857460677,36857462172,1
135,36857477344,36857478655,1
136,36857494010,36857495289,1
137,36857510677,36857511934,1
138,36857527344,36857528562,1
139,36857544010,36857545249,1
140,36857560677,36857562107,1
141,36857577344,36857578605,1
142,36857594010,36857595211,1
143,36857610677,36857612093,1
144,36857627344,36857628575,1
145,36857644010,36857645277,1
146,36857660677,36857661932,1
147,36857677344,36857678619,1
148,36857694010,36857695252,1
149,36857710677,36857712115,1
150,36857727344,36857728571,1
151,36857744010,36857745256,1
152,36857760677,36857761895,1
153,36857777344,36857778594,1
154,36857794010,36857795295,1
155,36857810677,36857811972,1
156,36857827344,36857828784,1
157,36857844010,36857845266,1
158,36857860677,36857861913,1
159,36857877344,36857878587,1
160,36857894010,36857895232,1
161,36857910677,36857911911,1
162,36857927344,36857928582,1
163,36857944010,36857945240,1
164,36857960677,36857962031,1
165,36857977344,36857978611,1
166,36857994010,36857995233,1
167,36858010677,36858011911,1
168,36858027344,36858028573,1
169,36858044010,36858045245,1
170,36858060677,36858062072,1
171,36858077344,36858078606,1
172,36858094010,36858095430,1
173,36858110677,36858111912,1
174,36858127344,36858128563,1
175,36858144010,36858145256,1
176,36858160677,36858161930,1
177,36858177344,36858178805,1
178,36858194010,36858195474,1
179,36858210677,36858211909,1
180,36858227344,36858228587,1
181,36858244010,36858245265,1
182,36858260677,36858261899,1
183,36858277344,36858278587,1
184,36858294010,36858295354,1
185,36858310677,36858312094,1
186,36858327344,36858328584,1
187,36858344010,36858345273,1
188,36858360677,36858361999,1
189,36858377344,36858378684,1
190,36858394010,36858395342,1
191,36858410677,36858412065,1
192,36858427344,36858428964,1
193,36858444010,36858445783,1
194,36858460677,36858461981,1
195,36858477344,36858478693,1
196,36858494010,36858495338,1
197,36858510677,36858511987,1
198,36858527344,36858528627,1
199,36858544010,36858545587,1
200,36858560677,36858561982,1
201,36858577344,36858578616,1
202,36858594010,36858595259,1
203,36858610677,36858612132,1
204,36858627344,36858628770,1
205,36858644010,36858645302,1
206,36858660677,36858661958,1
207,36858677344,36858678590,1
208,36858694010,36858695245,1
209,36858710677,36858711945,1
210,36858727344,36858728604,1
211,36858744010,36858745270,1
212,36858760677,36858761912,1
213,36858777344,36858778718,1
214,36858794010,36858795494,1
215,36858810677,36858811933,1
216,36858827344,36858828595,1
217,36858844010,36858845280,1
218,36858860677,36858861978,1
219,36858877344,36858878692,1
220,36858894010,36858895628,1
221,36858910677,36858912282,1
222,36858927344,36858928811,1
223,36858944010,36858945510,1
224,36858960677,36858962024,1
225,36858977344,36858978670,1
226,36858994010,36858995307,1
227,36859010677,36859011987,1
228,36859027344,36859028880,1
229,36859044010,36859045272,1
230,36859060677,36859061962,1
231,36859077344,36859078594,1
232,36859094010,36859095260,1
233,36859110677,36859111931,1
234,36859127344,36859128588,1
235,36859144010,36859145516,1
236,36859160677,36859162075,1
237,36859177344,36859178622,1
238,36859194010,36859195266,1
239,36859210677,36859211906,1
240,36859227344,36859228560,1
241,36859244010,36859245242,1
242,36859260677,36859262061,1
243,36859277344,36859278591,1
244,36859294010,36859295247,1
245,36859310677,36859311921,1
246,36859327344,36859328587,1
247,36859344010,36859345265,1
248,36859360677,36859361913,1
249,36859377344,36859378629,1
250,36859394010,36859395257,1
251,36859410677,36859412042,1
252,36859427344,36859428607,1
253,36859444010,36859445265,1
254,36859460677,36859461927,1
255,36859477344,36859478635,1
256,36859494010,36859495310,1
257,36859510677,36859512160,1
258,36859527344,36859528611,1
259,36859544010,36859545270,1
260,36859560677,36859561937,1
261,36859577344,36859578612,1
262,36859594010,36859595304,1
263,36859610677,36859612140,1
264,36859627344,36859628780,1
265,36859644010,36859645276,1
266,36859660677,36859661962,1
267,36859677344,36859678777,1
268,36859694010,36859695251,1
269,36859710677,36859711934,1
270,36859727344,36859728609,1
271,36859744010,36859745464,1
272,36859760677,36859761969,1
273,36859777344,36859778592,1
274,36859794010,36859795255,1
275,36859810677,36859811938,1
276,36859827344,36859828612,1
277,36859844010,36859845263,1
278,36859860677,36859862097,1
279,36859877344,36859878608,1
280,36859894010,36859895257,1
281,36859910677,36859911938,1
282,36859927344,36859928600,1
283,36859944010,36859945258,1
284,36859960677,36859961918,1
285,36859977344,36859978758,1
286,36859994010,36859995408,1
287,36860010677,36860012157,1
288,36860027344,36860028630,1
289,36860044010,36860045320,1
290,36860060677,36860061960,1
291,36860077344,36860078593,1
292,36860094010,36860095265,1
293,36860110677,36860111983,1
294,36860127344,36860128696,1
295,36860144010,36860145455,1
296,36860160677,36860162024,1
297,36860177344,36860178633,1
298,36860194010,36860195466,1
299,36860210677,36860212619,1
300,36860227344,36860228780,1
301,36860244010,36860245437,1
302,36860260677,36860261939,1
303,36860277344,36860278677,1
304,36860294010,36860295507,1
305,36860310677,36860312006,1
306,36860327344,36860328622,1
307,36860344010,36860345558,1
308,36860360677,36860362082,1
309,36860377344,36860378629,1
310,36860394010,36860395494,1
311,36860410677,36860411924,1
312,36860427344,36860428626,1
313,36860444010,36860445484,1
314,36860460677,36860462134,1
315,36860477344,36860478958,1
316,36860494010,36860495516,1
317,36860510677,36860512037,1
318,36860527344,36860528812,1
319,36860544010,36860545586,1
320,36860560677,36860561958,1
321,36860577344,36860578680,1
322,36860594010,36860595476,1
323,36860610677,36860612104,1
324,36860627344,36860628675,1
325,36860644010,36860645480,1
326,36860660677,36860661974,1
327,36860677344,36860678702,1
328,36860694010,36860695497,1
329,36860710677,36860712006,1
330,36860727344,36860728849,1
331,36860744010,36860746040,1
332,36860760677,36860761948,1
333,36860777344,36860778581,1
334,36860794010,36860795251,1
335,36860810677,36860811936,1
336,36860827344,36860828626,1
337,36860844010,36860845263,1
338,36860860677,36860861934,1
339,36860877344,36860878599,1
340,36860894010,36860895264,1
341,36860910677,36860911908,1
342,36860927344,36860928599,1
343,36860944010,36860945408,1
344,36860960677,36860962293,1
345,36860977344,36860978794,1
346,36860994010,36860995474,1
347,36861010677,36861012190,1
348,36861027344,36861028831,1
349,36861044010,36861045405,1
350,36861060677,36861062021,1
351,36861077344,36861078825,1
352,36861094010,36861095288,1
353,36861110677,36861111957,1
354,36861127344,36861128595,1
355,36861144010,36861145291,1
356,36861160677,36861161940,1
357,36861177344,36861178689,1
358,36861194010,36861195465,1
359,36861210677,36861211938,1
360,36861227344,36861228594,1
361,36861244010,36861245255,1
362,36861260677,36861261911,1
363,36861277344,36861278655,1
364,36861294010,36861295518,1
365,36861310677,36861312035,1
366,36861327344,36861328835,1
367,36861344010,36861345276,1
368,36861360677,36861361984,1
369,36861377344,36861378603,1
370,36861394010,36861395271,1
371,36861410677,36861411939,1
372,36861427344,36861428788,1
373,36861444010,36861445262,1
374,36861460677,36861461918,1
375,36861477344,36861478705,1
376,36861494010,36861495318,1
377,36861510677,36861512085,1
378,36861527344,36861528808,1
379,36861544010,36861545594,1
380,36861560677,36861562112,1
381,36861577344,36861578825,1
382,36861594010,36861595455,1
383,36861610677,36861612215,1
384,36861627344,36861629063,1
385,36861644010,36861645558,1
386,36861660677,36861662715,1
387,36861677344,36861678621,1
388,36861694010,36861695276,1
389,36861710677,36861711945,1
390,36861727344,36861728585,1
391,36861744010,36861745334,1
392,36861760677,36861761966,1
393,36861777344,36861778682,1
394,36861794010,36861795662,1
395,36861810677,36861812516,1
396,36861827344,36861829181,1
397,36861844010,36861845489,1
398,36861860677,36861861929,1
399,36861877344,36861878633,1
400,36861894010,36861895343,1
401,36861910677,36861912196,1
402,36861927344,36861928626,1
403,36861944010,36861945276,1
404,36861960677,36861961915,1
405,36861977344,36861978699,1
406,36861994010,36861995308,1
407,36862010677,36862012010,1
408,36862027344,36862028874,1
409,36862044010,36862045297,1
410,36862060677,36862061942,1
411,36862077344,36862078639,1
412,36862094010,36862095267,1
413,36862110677,36862112055,1
414,36862127344,36862128762,1
415,36862144010,36862145482,1
416,36862160677,36862162615,1
417,36862177344,36862178807,1
418,36862194010,36862195246,1
419,36862210677,36862211936,1
420,36862227344,36862228592,1
421,36862244010,36862245261,1
422,36862260677,36862261912,1
423,36862277344,36862278659,1
424,36862294010,36862295283,1
425,36862310677,36862311922,1
426,36862327344,36862328725,1
427,36862344010,36862345318,1
428,36862360677,36862361978,1
429,36862377344,36862378754,1
430,36862394010,36862395433,1
431,36862410677,36862411963,1
432,36862427344,36862428587,1
433,36862444010,36862445336,1
434,36862460677,36862461930,1
435,36862477344,36862478620,1
436,36862494010,36862495341,1
437,36862510677,36862512150,1
438,36862527344,36862528675,1
439,36862544010,36862545389,1
440,36862560677,36862562031,1
441,36862577344,36862578693,1
442,36862594010,36862595355,1
443,36862610677,36862612145,1
444,36862627344,36862628919,1
445,36862644010,36862645526,1
446,36862660677,36862662199,1
447,36862677344,36862678653,1
448,36862694010,36862695387,1
449,36862710677,36862711931,1
450,36862727344,36862728621,1
451,36862744010,36862745558,1
452,36862760677,36862762002,1
453,36862777344,36862778611,1
454,36862794010,36862795274,1
455,36862810677,36862811943,1
456,36862827344,36862828701,1
457,36862844010,36862845275,1
458,36862860677,36862862269,1
459,36862877344,36862878804,1
460,36862894010,36862895428,1
461,36862910677,36862911911,1
462,36862927344,36862928723,1
463,36862944010,36862945333,1
464,36862960677,36862961992,1
465,36862977344,36862979890,1
466,36862994010,36862995288,1
467,36863010677,36863012022,1
468,36863027344,36863028625,1
469,36863044010,36863045446,1
470,36863060677,36863062082,1
471,36863077344,36863078762,1
472,36863094010,36863095575,1
473,36863110677,36863112341,1
474,36863127344,36863128875,1
475,36863144010,36863145450,1
476,36863160677,36863162086,1
477,36863177344,36863178842,1
478,36863194010,36863195296,1
479,36863210677,36863211983,1
480,36863227344,36863229016,1
481,36863244010,36863245444,1
482,36863260677,36863262084,1
483,36863277344,36863278592,1
484,36863294010,36863295396,1
485,36863310677,36863312094,1
486,36863327344,36863328820,1
487,36863344010,36863345564,1
488,36863360677,36863362005,1
489,36863377344,36863378622,1
490,36863394010,36863395508,1
491,36863410677,36863411958,1
492,36863427344,36863428759,1
493,36863444010,36863445410,1
494,36863460677,36863462160,1
495,36863477344,36863478810,1
496,36863494010,36863495400,1
497,36863510677,36863512051,1
498,36863527344,36863528684,1
499,36863544010,36863545314,1
500,36863560677,36863561921,1
501,36863577344,36863578769,1
502,36863594010,36863595626,1
503,36863610677,36863612140,1
504,36863627344,36863628803,1
505,36863644010,36863645705,1
506,36863660677,36863662156,1
507,36863677344,36863678679,1
508,36863694010,36863695259,1
509,36863710677,36863711940,1
510,36863727344,36863728609,1
511,36863744010,36863745280,1
512,36863760677,36863761960,1
513,36863777344,36863778653,1
514,36863794010,36863795347,1
515,36863810677,36863811978,1
516,36863827344,36863829327,1
517,36863844010,36863845516,1
518,36863860677,36863862059,1
519,36863877344,36863878650,1
520,36863894010,36863895341,1
521,36863910677,36863911937,1
522,36863927344,36863928799,1
523,36863944010,36863945516,1
524,36863960677,36863961979,1
525,36863977344,36863978626,1
526,36863994010,36863995276,1
527,36864010677,36864011946,1
528,36864027344,36864028602,1
529,36864044010,36864045270,1
530,36864060677,36864062166,1
531,36864077344,36864078658,1
532,36864094010,36864095340,1
533,36864110677,36864111998,1
534,36864127344,36864128631,1
535,36864144010,36864145309,1
536,36864160677,36864161917,1
537,36864177344,36864178786,1
538,36864194010,36864195436,1
539,36864210677,36864212027,1
540,36864227344,36864228721,1
541,36864244010,36864245274,1
542,36864260677,36864261938,1
543,36864277344,36864278738,1
544,36864294010,36864295452,1
545,36864310677,36864311973,1
546,36864327344,36864328807,1
547,36864344010,36864345264,1
548,36864360677,36864361955,1
549,36864377344,36864378608,1
550,36864394010,36864395259,1
551,36864410677,36864411935,1
552,36864427344,36864428596,1
553,36864444010,36864445350,1
554,36864460677,36864462148,1
555,36864477344,36864478603,1
556,36864494010,36864495284,1
557,36864510677,36864512011,1
558,36864527344,36864528724,1
559,36864544010,36864545632,1
560,36864560677,36864561938,1
561,36864577344,36864578594,1
562,36864594010,36864595311,1
563,36864610677,36864611992,1
564,36864627344,36864628869,1
565,36864644010,36864645408,1
566,36864660677,36864662128,1
567,36864677344,36864678653,1
568,36864694010,36864695412,1
569,36864710677,36864712160,1
570,36864727344,36864728616,1
571,36864744010,36864745310,1
572,36864760677,36864761944,1
573,36864777344,36864778713,1
574,36864794010,36864795454,1
575,36864810677,36864811988,1
576,36864827344,36864828663,1
577,36864844010,36864845272,1
578,36864860677,36864862015,1
579,36864877344,36864878658,1
580,36864894010,36864895258,1
581,36864910677,36864912002,1
582,36864927344,36864928790,1
583,36864944010,36864945269,1
584,36864960677,36864961963,1
585,36864977344,36864978836,1
586,36864994010,36864995307,1
587,36865010677,36865012003,1
588,36865027344,36865028856,1
589,36865044010,36865045286,1
590,36865060677,36865061932,1
591,36865077344,36865078600,1
592,36865094010,36865095251,1
593,36865110677,36865111929,1
594,36865127344,36865128852,1
595,36865144010,36865145506,1
596,36865160677,36865162250,1
597,36865177344,36865178805,1
598,36865194010,36865195602,1
599,36865210677,36865212363,1
600,36865227344,36865228794,1
601,36865244010,36865245536,1
602,36865260677,36865261962,1
603,36865277344,36865278928,1
604,36865294010,36865295513,1
605,36865310677,36865311949,1
606,36865327344,36865328772,1
607,36865344010,36865345462,1
608,36865360677,36865362079,1
609,36865377344,36865378665,1
610,36865394010,36865395456,1
611,36865410677,36865412008,1
612,36865427344,36865428596,1
613,36865444010,36865445455,1
614,36865460677,36865461931,1
615,36865477344,36865478612,1
616,36865494010,36865495455,1
617,36865510677,36865512139,1
618,36865527344,36865528788,1
619,36865544010,36865545450,1
620,36865560677,36865561938,1
621,36865577344,36865578607,1
622,36865594010,36865595446,1
623,36865610677,36865611941,1
624,36865627344,36865628761,1
625,36865644010,36865645442,1
626,36865660677,36865662114,1
627,36865677344,36865678612,1
628,36865694010,36865695467,1
629,36865710677,36865711941,1
630,36865727344,36865728631,1
631,36865744010,36865745494,1
632,36865760677,36865762126,1
633,36865777344,36865778627,1
634,36865794010,36865795459,1
635,36865810677,36865811929,1
636,36865827344,36865828673,1
637,36865844010,36865845488,1
638,36865860677,36865861930,1
639,36865877344,36865878614,1
640,36865894010,36865895255,1
641,36865910677,36865912020,1
642,36865927344,36865928636,1
643,36865944010,36865945264,1
644,36865960677,36865961934,1
645,36865977344,36865978618,1
646,36865994010,36865995470,1
647,36866010677,36866011977,1
648,36866027344,36866028666,1
649,36866044010,36866045281,1
650,36866060677,36866062124,1
651,36866077344,36866078596,1
652,36866094010,36866095300,1
653,36866110677,36866112151,1
654,36866127344,36866128594,1
655,36866144010,36866145264,1
656,36866160677,36866161921,1
657,36866177344,36866178608,1
658,36866194010,36866195251,1
659,36866210677,36866211936,1
660,36866227344,36866228589,1
661,36866244010,36866245428,1
662,36866260677,36866261907,1
663,36866277344,36866278584,1
664,36866294010,36866295364,1
665,36866310677,36866311926,1
666,36866327344,36866328571,1
667,36866344010,36866345451,1
668,36866360677,36866361924,1
669,36866377344,36866378587,1
670,36866394010,36866395249,1
671,36866410677,36866411916,1
672,36866427344,36866428591,1
673,36866444010,36866445245,1
674,36866460677,36866462063,1
675,36866477344,36866478591,1
676,36866494010,36866495263,1
677,36866510677,36866511984,1
678,36866527344,36866528596,1
679,36866544010,36866545246,1
680,36866560677,36866561905,1
681,36866577344,36866578769,1
682,36866594010,36866595254,1
683,36866610677,36866611916,1
684,36866627344,36866628739,1
685,36866644010,36866645251,1
686,36866660677,36866661928,1
687,36866677344,36866678582,1
688,36866694010,36866695304,1
689,36866710677,36866712130,1
690,36866727344,36866728649,1
691,36866744010,36866745392,1
692,36866760677,36866761969,1
693,36866777344,36866778678,1
694,36866794010,36866795456,1
695,36866810677,36866811950,1
696,36866827344,36866828709,1
697,36866844010,36866845466,1
698,36866860677,36866861910,1
699,36866877344,36866878595,1
700,36866894010,36866895241,1
701,36866910677,36866911919,1
702,36866927344,36866928576,1
703,36866944010,36866945511,1
704,36866960677,36866961944,1
705,36866977344,36866978598,1
706,36866994010,36866995227,1
707,36867010677,36867011905,1
708,36867027344,36867028648,1
709,36867044010,36867045244,1
710,36867060677,36867062119,1
711,36867077344,36867078596,1
712,36867094010,36867095252,1
713,36867110677,36867112125,1
714,36867127344,36867128579,1
715,36867144010,36867145252,1
716,36867160677,36867161928,1
717,36867177344,36867178691,1
718,36867194010,36867195423,1
719,36867210677,36867211925,1
720,36867227344,36867228656,1
721,36867244010,36867245588,1
722,36867260677,36867262114,1
723,36867277344,36867278873,1
724,36867294010,36867295589,1
725,36867310677,36867312024,1
726,36867327344,36867328595,1
727,36867344010,36867345279,1
728,36867360677,36867361917,1
729,36867377344,36867378616,1
730,36867394010,36867395246,1
731,36867410677,36867411915,1
732,36867427344,36867428661,1
733,36867444010,36867445459,1
734,36867460677,36867461929,1
735,36867477344,36867478585,1
736,36867494010,36867495249,1
737,36867510677,36867511923,1
738,36867527344,36867528614,1
739,36867544010,36867545493,1
740,36867560677,36867561954,1
741,36867577344,36867578600,1
742,36867594010,36867595237,1
743,36867610677,36867611903,1
744,36867627344,36867628739,1
745,36867644010,36867645261,1
746,36867660677,36867662071,1
747,36867677344,36867678773,1
748,36867694010,36867695414,1
749,36867710677,36867711943,1
750,36867727344,36867728577,1
751,36867744010,36867745236,1
752,36867760677,36867761912,1
753,36867777344,36867778685,1
754,36867794010,36867795417,1
755,36867810677,36867811991,1
756,36867827344,36867828655,1
757,36867844010,36867845254,1
758,36867860677,36867861897,1
759,36867877344,36867878581,1
760,36867894010,36867895281,1
761,36867910677,36867912102,1
762,36867927344,36867928574,1
763,36867944010,36867945252,1
764,36867960677,36867961901,1
765,36867977344,36867978593,1
766,36867994010,36867995271,1
767,36868010677,36868011911,1
768,36868027344,36868028583,1
769,36868044010,36868045231,1
770,36868060677,36868061893,1
771,36868077344,36868078592,1
772,36868094010,36868095234,1
773,36868110677,36868111913,1
774,36868127344,36868128576,1
775,36868144010,36868145427,1
776,36868160677,36868162082,1
777,36868177344,36868178603,1
778,36868194010,36868195313,1
779,36868210677,36868211975,1
780,36868227344,36868228596,1
781,36868244010,36868245254,1
782,36868260677,36868262076,1
783,36868277344,36868278609,1
784,36868294010,36868295263,1
785,36868310677,36868311964,1
786,36868327344,36868328591,1
787,36868344010,36868345273,1
788,36868360677,36868361934,1
789,36868377344,36868378742,1
790,36868394010,36868395440,1
791,36868410677,36868411942,1
792,36868427344,36868428627,1
793,36868444010,36868445277,1
794,36868460677,36868461919,1
795,36868477344,36868478616,1
796,36868494010,36868495297,1
797,36868510677,36868512125,1
798,36868527344,36868528640,1
799,36868544010,36868545265,1
800,36868560677,36868561926,1
801,36868577344,36868578600,1
802,36868594010,36868595255,1
803,36868610677,36868611973,1
804,36868627344,36868628814,1
805,36868644010,36868645432,1
806,36868660677,36868662122,1
807,36868677344,36868678608,1
808,36868694010,36868695429,1
809,36868710677,36868711937,1
810,36868727344,36868728597,1
811,36868744010,36868745266,1
812,36868760677,36868761951,1
813,36868777344,36868778591,1
814,36868794010,36868795265,1
815,36868810677,36868812121,1
816,36868827344,36868828842,1
817,36868844010,36868845420,1
818,36868860677,36868862203,1
819,36868877344,36868879574,1
820,36868894010,36868895383,1
821,36868910677,36868911964,1
822,36868927344,36868928640,1
823,36868944010,36868945310,1
824,36868960677,36868961970,1
825,36868977344,36868978760,1
826,36868994010,36868995459,1
827,36869010677,36869011993,1
828,36869027344,36869028607,1
829,36869044010,36869045274,1
830,36869060677,36869061932,1
831,36869077344,36869078646,1
832,36869094010,36869095328,1
833,36869110677,36869112141,1
834,36869127344,36869128604,1
835,36869144010,36869145321,1
836,36869160677,36869161971,1
837,36869177344,36869178658,1
838,36869194010,36869195254,1
839,36869210677,36869211923,1
840,36869227344,36869228855,1
841,36869244010,36869245287,1
842,36869260677,36869261977,1
843,36869277344,36869278610,1
844,36869294010,36869295305,1
845,36869310677,36869312073,1
846,36869327344,36869328800,1
847,36869344010,36869345578,1
848,36869360677,36869362273,1
849,36869377344,36869378856,1
850,36869394010,36869395412,1
851,36869410677,36869411987,1
852,36869427344,36869428638,1
853,36869444010,36869445277,1
854,36869460677,36869461937,1
855,36869477344,36869478687,1
856,36869494010,36869495326,1
857,36869510677,36869512126,1
858,36869527344,36869528711,1
859,36869544010,36869545307,1
860,36869560677,36869561950,1
861,36869577344,36869578712,1
862,36869594010,36869595452,1
863,36869610677,36869611978,1
864,36869627344,36869628827,1
865,36869644010,36869645264,1
866,36869660677,36869661950,1
867,36869677344,36869678606,1
868,36869694010,36869695297,1
869,36869710677,36869712145,1
870,36869727344,36869728633,1
871,36869744010,36869745264,1
872,36869760677,36869762097,1
873,36869777344,36869778588,1
874,36869794010,36869795309,1
875,36869810677,36869811996,1
876,36869827344,36869828868,1
877,36869844010,36869845284,1
878,36869860677,36869861936,1
879,36869877344,36869878604,1
880,36869894010,36869895272,1
881,36869910677,36869911936,1
882,36869927344,36869928587,1
883,36869944010,36869945451,1
884,36869960677,36869961922,1
885,36869977344,36869978629,1
886,36869994010,36869995253,1
887,36870010677,36870011985,1
888,36870027344,36870028622,1
889,36870044010,36870045473,1
890,36870060677,36870062138,1
891,36870077344,36870078599,1
892,36870094010,36870095289,1
893,36870110677,36870111956,1
894,36870127344,36870128800,1
895,36870144010,36870145273,1
896,36870160677,36870161955,1
897,36870177344,36870178829,1
898,36870194010,36870195262,1
899,36870210677,36870211935,1
900,36870227344,36870228809,1
901,36870244010,36870245263,1
902,36870260677,36870261925,1
903,36870277344,36870278789,1
904,36870294010,36870295411,1
905,36870310677,36870312236,1
906,36870327344,36870328766,1
907,36870344010,36870345313,1
908,36870360677,36870361941,1
909,36870377344,36870378780,1
910,36870394010,36870395278,1
911,36870410677,36870411983,1
912,36870427344,36870428783,1
913,36870444010,36870445266,1
914,36870460677,36870461948,1
915,36870477344,36870478799,1
916,36870494010,36870495254,1
917,36870510677,36870511940,1
918,36870527344,36870528817,1
919,36870544010,36870545277,1
920,36870560677,36870562139,1
921,36870577344,36870578782,1
922,36870594010,36870595260,1
923,36870610677,36870611938,1
924,36870627344,36870628812,1
925,36870644010,36870645323,1
926,36870660677,36870661936,1
927,36870677344,36870678805,1
928,36870694010,36870695278,1
929,36870710677,36870711974,1
930,36870727344,36870728798,1
931,36870744010,36870745270,1
932,36870760677,36870761932,1
933,36870777344,36870778788,1
934,36870794010,36870795450,1
935,36870810677,36870811954,1
936,36870827344,36870828863,1
937,36870844010,36870845274,1
938,36870860677,36870861957,1
939,36870877344,36870878597,1
940,36870894010,36870895422,1
941,36870910677,36870911988,1
942,36870927344,36870928762,1
943,36870944010,36870945328,1
944,36870960677,36870962136,1
945,36870977344,36870978687,1
946,36870994010,36870995265,1
947,36871010677,36871011973,1
948,36871027344,36871028802,1
949,36871044010,36871045301,1
950,36871060677,36871061914,1
951,36871077344,36871078652,1
952,36871094010,36871095254,1
953,36871110677,36871111970,1
954,36871127344,36871128580,1
955,36871144010,36871145281,1
956,36871160677,36871162199,1
957,36871177344,36871178606,1
958,36871194010,36871195315,1
959,36871210677,36871211924,1
960,36871227344,36871228620,1
961,36871244010,36871245279,1
962,36871260677,36871261932,1
963,36871277344,36871278854,1
964,36871294010,36871295267,1
965,36871310677,36871312002,1
966,36871327344,36871328605,1
967,36871344010,36871345437,1
968,36871360677,36871361971,1
969,36871377344,36871378604,1
970,36871394010,36871395596,1
971,36871410677,36871412139,1
972,36871427344,36871428836,1
973,36871444010,36871445523,1
974,36871460677,36871462187,1
975,36871477344,36871478717,1
976,36871494010,36871495501,1
977,36871510677,36871512226,1
978,36871527344,36871528672,1
979,36871544010,36871545323,1
980,36871560677,36871561933,1
981,36871577344,36871578691,1
982,36871594010,36871595313,1
983,36871610677,36871611945,1
984,36871627344,36871628774,1
985,36871644010,36871645280,1
986,36871660677,36871661937,1
987,36871677344,36871678599,1
988,36871694010,36871695241,1
989,36871710677,36871711959,1
990,36871727344,36871728654,1
991,36871744010,36871745441,1
992,36871760677,36871762143,1
993,36871777344,36871778702,1
994,36871794010,36871795279,1
995,36871810677,36871811964,1
996,36871827344,36871828597,1
